단어,명사,관형사 (-é),동사 (-À),부사 (-ùi),"조사, 연결","접사, 어미",비고,어원
laro,,,,,"또는, 아니면, 혹은",,,선험
las,,,,"굉장히, 아주, 상당히, 완전, 매우",,,,
lash,각(角); 모퉁이,,,,,,,
lasivatukomkos,명제(수학),,,,,,,"자소크어, las·ivatùque·komkos"
laz,,,,,,,[대화] 여보세요,
lazverdie,,,,,,,미안합니다,
leimup,,"멍청한, 둔한",,,,,,
leka,초(秒),,,,,,,
lemaäque,고통,고통스러운,고통을 받다,,,,,
lemvaisausentrah,끈기,,,,,,,
len,연결,잇는,잇다(繋),,,,,
les,"~개, (일반적인 개수의 단위)",,,,,,"신발, 귀와 같이 2개가 한 쌍인 것도 2개로 센다",
letera,편지,,,,,,,
leteradoilah,우체통,,,,,,,
letua,,쉬는,쉬다,,,,,
letuasosaque,쉬는 시간,,,,,,,
lîckos,식의 양변(수학),,,,,,,"자소크어, lie·hickos"
lie,"2, 둘, 이",,,,,,,
lig,권리; 권한,,,,,,,
likarommaque,듀엣,,둘이서 노래부르다,,,,,
limof,2000,,,,,,,
linam,"성 (姓, 혈통 이름)",,,,,,,
lindashalin,"열차, 기차; 지하철",,,,,,,"자소크어, lindú·hashalin"
lindú,줄; 순서; 목차,,,,,,,
lindúnamyúrgorisque,서격,,,,,,자소크어 명사의 격,"자소크어, lindú·namyúrgorisque"
lindús,"리스트, 목록",,,,,,,
linfos,"기록, 정보",,,,,,,
linque,"웹페이지 주소, 링크",,,,,,,
lipúfashas,병원,,,,,,,
lipún,병(病),,,,,,,
lipúskad,백신,,백신을 맞다,,,,,
lipùskadàs,백신 접종,,백신을 놓다,,,,,
lique,바(所),,,"~처럼, ~같이",,,,
liquemmatikâravîta,배수,,,,,,,"자소크어, liquet·matikâravîta"
liquet,"판, 버전; 곱셈; 배(times, 단위)","배의, -와 비교하여 아주 많은",곱하다,,,,,
liqueves,"배수성, 배수가 되는 성질",,,,,,,"자소크어, liquet·ves"
lis,,모으는,모으다,,,,,
lisonam,"이씨(二氏), 현재 가족의 이름",,,,,,,
litaimúhivin,증조보호자; 증조부모님,,,,,,,
lital,2월,,,,,,,
litamaie,축복,축복하는,축복하다,,,,,
litu,,얕은,,,,,,
livash,"남자, 남성",,,,,,,
livera,사다리,,,,,,,
liviaciatashaque,,"추운, 차가운",,,,,,
livialinü,우주,,,,,,,"자소크어, liviat·rinü"
livialinüsemüniash,"코스믹 호러, 코스미시즘, 우주적 공포, 경외감","경외스러운, 경외로운",,,,,,
livialofafashas,대학교,,,,,,,
livialofafashasin,대학생,,,,,,,
livialofanùque,초론(ultraism),,,,,,,
liviashain,너무나 좋은 것; 쾌감,너무 좋은,,,,,,
liviat,초(超),"(긍정적 의미로)너무하는, 뛰어난, 빼어난",넘다,,,,,
liviataicashaque,,"더운, 뜨거운",,,,,,
liviatàs,스킵,넘기는,넘기다,,,,,
livizash,중용,조화가 잘 지켜진,"중용을 지키다, 조화롭게 행동하다",,,,,
livkosque,금지,금지하는,금지하다,,,,,
lizte,꽃,,,,,,,
lo,,,,,"-을, -를",,,
lofafashas,"학교, 학원(學院)",,,,,,,
lofakadas,"교재, 교과서",,,,,,,
lofan,공부,배우는,배우다,,,,,
lofananös,학교 생활,,,,,,,
lofananösiros,방과후,,,,,,,
lofanàsin,"선생님, 교수",,,,,,,
lofanùque,알림; 종교,"가르치는, 알리는","가르치다, 알리다",,,,,
lofashitnatanie,졸업,졸업하는,졸업하다,,,,,
lofasosaque,학기,,,,,,,
lofataigrum,"학위, 학계에서의 사회적 위치",,,,,,,
login,로그인,로그인하는,로그인하다,,,,,
lomia,역경,힘든,힘들어하다,,,,,
lomialofafashas,중학교,,,,,,,
lomialofafashasin,중학생,,,,,,,
lülien,2차원,,,,,,,
lülienoúmatika,"선형대수학, linear algebra",,,,,,,"자소크어, lülien·hoúmatika"
lülienskie,평면,,,,,,,
luo,(특히 과정과 이론을 중심적으로 다루는) 학문,,,,,,,
maä,쐐기,,,,,,,
madúz,,,,"(단독으로) 오랜만에, 오래간만에
(ùi와 함께) 오랫동안",,,,
maf,해(垓),,,,,,,
mäf,"극(極), 극지",,,,,,,
maka,"일, 할 일, 마감, 과제, 숙제","일을 하는, 마감을 하는, 과제를 하는","일을 하다, 마감을 하다, 과제를 하다",,,,,
makafashas,회사,,,,,,,
makom,,돌아오는,돌아오다,,,,,
malefique,장난,장난치는,장난치다,,,,,
malofan,복습,복습하는,복습하다,,,,,
mammoque,,돌아가는,돌아가다,,,,,
maneie,,책임지는,책임지다,,,,,
manetú,쥐,,,,,,,
mänit,"극야(極夜), 극야현상",,,,,,,"자소크어, mäf·nit"
manxnarisàs,"재언급, recap",,다시 언급하다,,,,,
maque,노래,"노래하는, 부르는","노래하다, 부르다(歌)",,,,,
maquin,가수,,,,,,,
mäquocer,극지 연구,,,,,,,"자소크어, mäf·quocer"
marakromad,실직; 해고,실직하게 함,"실직시키다, 해고하다",,,,,
marav,바람(風); 바람(願),바라는,바라다(願望),,,,,
maravizash,,바라보는,바라보다,,,,,
marquin,즐거움,재미있는,,,,,,
marsh,"이유, 원인",,,,,,,
marshad,목적,,,,,,,
marshanxnamyúrgorisque,목적격,,,,,,자소크어 명사의 격,"자소크어, marshad·namyúrgorisque"
marvist,동기 부여,,,,,,,
marvlat,,"깨끗한, 맑은",,,,,,
masha,,많은,,,,,,
mashamaka,많은 일,"바쁜, 할 일이 많은",,,,,,
mashapoirn,,누리는,"누리다, 향유하다",,,,,
mashasosakin,노인,,,,,,,
mashasosaque,시대,"늙은, 오래된",,,,,,
mashirosic,옛날,,,,,,,
mashirosicanös,역사,,,,,,,
mashque,도전,"도전하는, 도전적인",도전하다,,,,,
masique,,"망하는, 부서지는, 무너지는","망하다, 부서지다, 무너지다",,,,,
mat,,,,다시,,,,
matika,수학,,,,,,,
matikalindú,"식(수학), 수식(수학)",,,,,,,
matikapota,수(수학),,,,,,,
matikâravîta,숫자,,,,,,,
matikâravîtamodifia,"진법 체계, 진수 체계, 기수법",,,,,,,"자소크어, matikâravîta·modifia"
matinatantishtiäg,,갈아엎는,"갈아엎다, 초기화하다",,,,,
mavist,,"반환하는, 돌려주는","반환하다, 돌려주다",,,,,
mavizash,반성,"돌아보는, 다시 보는; 반성하는","돌아보다, 다시 보다; 반성하다",,,,,
mavizash,,"불러보는, 노래해보는","불러보다, 노래해보다",,,,,
megias,"문화, 양식",,,,,,,
megiatutayúr,문화권,,,,,,,
memo,"메모, 필기",메모하는,메모하다,,,,,"영어, memo"
memofashas,메모장,,,,,,,
mesec,,무거운,,무겁게,,,,"일본어, 面接"
metutayúr,곶(串),,,,,,,"자소크어, temp·tutayúr"
mic,광질,광질하는,광질하다,,,,,"영어, mine"
micin,광부,,,,,,,"자소크어, mic·quorsin"
miet,이(齒),,,,,,,
mig,,핥는,핥다,,,,,
mine,옹호; 찬성,찬성하는,찬성하다,,,,,
mineu,"창문, 창; 화면",,,,,,,
minevrutan,"편승, 무임승차",,"편승하다, 무임승차하다",,,,,
mira,"우리들, 우리",,,,,,,선험
miré,,"나의, 저의, 내, 제",,,,,,"자소크어, miro·é"
miro,"나, 저",,,,,,,선험
mitoda,"방법, 수",,,,,,,"영어, method"
modifia,"규칙, 법, 규율",규칙으로 제정되어있는; 법을 지키는,규칙으로 제정하다; 법을 지키다,,,,"n-modifia의 형태로, “n진수”의 뜻으로 사용된다.","영어, modify"
modikom,,들어오는,들어오다,,,,,"자소크어, modil·kom"
modil,,드는,들다(入),,,,,선험
modiloque,입장,,들어가다,,,,,"자소크어, modil·moque"
mog,아침,,,,,,,"영어, morning"
moga,"모양, 형태",,,,,,,선험
mogosa,마음,,,,,,,선험
mogosafizalv,"마음의 평화, 평정심",,,,,,,"자소크어, mogosa·fizalv"
mokom,,"도착하는, 당도하는","도착하다, 당도하다",,,,,"자소크어, moque·kom"
monär,반복,,반복하다,,,,,"한국어, 뭐냐"
moque,,가는,가다(行),,,,,
mor,"1000, 즈믄, 천",,,,,,,
morel,공동,"공동 소유한, 공유하는",공유하다,,,,,
movator,강,,,,,,,"자소크어, moque·vator"
mu,,,벗다(脫),,,,,
muder,,,,"-씩, -마다 한번",,,,
múhiv,,"지키는, 보호하는","지키다, 보호하다",,,,,
múhivin,보호자; 부모님,,,,,,,
múhivizash,,,"지켜보다, 혹시 모를 상황을 대비하여 상황을 관찰하다",,,,,
múhivùquil,아들,,,,,,,
múhivùquin,"자식, 아들과 딸; 딸",,,,,,,
muraf,"태양, 해",,,,,,,"일본어, ムラる"
murafinoc,"햇빛, 태양광",,,,,,,"자소크어, muraf·hinoc"
muragaúnie,적도(赤道),,,,,,,"자소크어, muraf·gaúnie"
muragaúniraronema,위도선,,,,,,,"자소크어, muragaúni·rarov·nema"
muragaúnirarovìe,위도,,,,,,,"자소크어, muragaúni·rarov·ìe"
muranema,햇빛,,,,,,특히 공기 중에 입자가 많아서 모양이 보이는 햇빛,"자소크어, muraf·nema"
nadenam,불가능,불가능한,,,,,,
nadisatag,"오류, 예외",오류가 나는,오류를 범하다,,,,,
naf,정령,,,,,,,
näf,간(澗),,,,,,,
nagman,,버리는,버리다(捨),,,,,
nagmaskie,쓰레기,,,,,,,
nah,,아닌,,,,,"[대화] 아니요, 아니; (부정문)",
naliviat,,"불과한, 미치지 못하는","불과하다, 미치지 못하다",,,,,
nam,"이름, 성명, 특히 풀네임",,,,,,,
namatikâravîta,이름수,,,,,,,
namgan,,키우는,키우다,,,,,
namyúrgo,명사,,,,,,,
namyúrgorisque,격(格),,,,,,명사의 격,"자소크어, namyúrgo·risque"
nanig,,"잊는, 망각하는","잊다, 망각하다",,,,,
nanim,종류; 클래스(프로그래밍),,,,,,,
napucamis,"휴지, 화장지",,,,,,,
napul,,"말미암는, 의하는","말미암다, 의하다",,,,,
napunxnam,"풀네임, 공식명칭, 정식명칭",,,,,,,
naput,손,넣는,넣다,,,,,
naputin,입력기,,,,,,,
nariprepos,기억,,"알아두다, 기억하다",,,,,
naris,"지식, 지성",아는,알다,,,,,
narisanroid,믿음,믿는,믿다,,,,,
narisasùque,,알려지는,알려지다,,,,,
narisika,과학,,,,,,,
naritempùque,계산,알아내는,알아내다,,,,,
naskie,부정(否定),부정적인,,부정적으로 ,,,,
naskiyúrgo,부정어(否定語),,,,,,,
natiacentem,정부 (政部),,,,,,,
natîc,명절,,,,,,,"자소크어, natio·hic"
natîn,"국민, 백성",,,,,,,"자소크어, natio·quorsin"
natio,"나라, 국가",[naté],,,,,,
natiomaque,국가(國歌),,,,,,,
natîtag,민주주의,민주주의적인,,,,,,
nauagiz,,"절대적인, 변하지 않는, 불변의",,,,,,
necosh,,약한,,,,,,
necoshin,"약자, 소수자",,,,,,,
nema,선(線),,,,,,,
nemap,핵심,핵심적인,,,,,,
nevo,,닫는,닫다,,,,,
niadaterma,버릇,,,,,,,"자소크어, niash·daterma"
niages,침대,,,,,,,
niash,,나쁜,,,,,,
niashain,샤덴프로이데,,,,,,,"자소크어, niash·shain"
niashin,악마,,,,,,,
nieg,이불,,,,,,,
nilä,,,못 움직이게 하다; 잠그다,,,,,
niofashas,보관소(보관을 위해 만들어진 공간 혹은 방),,,,,,,
niop,보존,보존하는,보존하다,,,,,"자소크어, poirn"
nipota,내용,내용적인,내용을 쓰다,,,,,
nique,"안(內), 속, 내부",안쪽의,,,,,,
nira,"너희, 너희들",,,,,,,
niré,,"너의, 네",,,,,,
niro,너,,,,,,,
nish,동쪽,동쪽의,,,,,,
nit,"저녁, 밤",,,,,,,
nivash,"여자, 여성",,,,,,,
nivizashùque,노출,노출하는,노출하다,,,,,
nodino,"침묵, 무음",,,,,,,
noh,"0, 영; 없는",,,,,,,
nohàsuque,,결여된,결여되다,,,,,
noiz,,"싫어하는, 싫은",싫어하다,,,,,"인명, 노이즈"
nomatikâravîta,,"무수한, 셀 수 없는",,,,,,
non,"나이, 연세, 연령; 살","늙은, 나이가 많은",,,,,,
nonatiacentetag,무정부주의,,,,,,,
nonxnamyúrgorisque,어격,,,,,,자소크어 명사의 격,"자소크어, not(=svofas)·namyúrgorisque"
nor,,노란 (yellow),,,,,,
norco,"니, 너(비칭)",,,,,,2인칭 단수,
nosho,병(甁),,,,,,,
noskie,"아무것도 아닌 것, 무위",,,,,,,
nov,,새로운,,,,,,
noveshàs,무효화,무효화하는,"무효화하다, 해제하다, 풀다",,,,,
nuiz,부분; 계정,부분적인,,,,,,
nula,"환상, 좋아보이지만 다가갈 수 없는 것; 상실감",환상적인,,,,,,
o,,,,,,,[감탄] 오.,
ö,[호칭] 님,,,,,,단어의 격을 높이기 위해 붙이는 관사,
öa,"깃발, 기(旗)",,,,,,,
oat,"아이, 어린이",,,,,,,"자소크어, tao"
odaseque,유니버설 디자인; 접근성,,,,,,,
odig,밝기,밝은,,,,,,
odislifaz,,"민감한, 예민한",,,,,,
œn,,때리는,때리다,,,,,
ogliac,,오글거리는,,,,,,
oh,합,"더하는, 추가하는","더하다(加), 추가하다","더(more), 더욱",,,,
ohuat,"첨언, 참고, 비고",,"첨언하다, 말을 끼얹다",,,,,
oie,,,,,,,"[감탄] 어머, 세상에; 오호",
öiksis,,계시는,"계시다, 있으시다",,,,,
oinn,,,,,,,[대화] 응.,
okarîna,오카리나,,,,,,,
ol,"다, 모두, 전체",모든,,,,,,
olesh,백수,"심심한, 할 일이 없는",,,,,,
olivashalon,양성애,"양성애자인, 양성애의",모든 성별의 사람을 사랑하다,,,,,
olivashalonin,양성애자,,,,,,,
olorüd,완식(完食),,"다 먹다, 남김 없이 먹다",,,,,"자소크어, ol·orüd"
olvat,다리(신체)(脚),,,,,,,
olvatailes,다리 털,,,,,,,
ömashaquorsin,여러분,,,,,,,
ome,,부탁하는,부탁하다,,,,,
omeskie,부탁,,,,,,,
öniré,,"당신의, 귀하의",,,,,,
öniro,"당신, 귀하",,,,,,,
operat,오페라,,,,,,,
opor,"앞부분, 앞",,,,,,,
opos,완전,완전한,,완전히,,,,
or,,나오는,나오다,,,,,
oriksis,,나와있는,나와있다,,,,,
orüd,,먹는,먹다,,,,,
orüplanaria,식충식물,,,,,,,
ösaquorsiligéuat,세계인권선언,,,,,,,
ösh,,"잘하는, 능숙한",,"잘, 능숙히",,,,
osha,"원, 동그라미; 공원; 환(수학)",동그란,,,,,,
oshavrisiad,원주율; 파이(pie),,,,,,,
öshùque,,,,,,,[사어] 좋아짐,
oskie,,"감탄하는, 놀라는","감탄하다, 놀라다",,,,,
oskiyúrgo,감탄사,,,,,,,
ösulah,,"위대한, 대단한",,,,,,
ötaic,왕,,,,,,,
otoque,,"가득 찬, 더 들어갈 수 없는",가득 차다,,,,,
öuat,말씀; 선언,말씀하시는,말씀하시다,,,,,
oven,,여는,열다,,,,,
ovetiag,,,,"항상, 언제나",,,,
övist,드림,,,,,,,
pain,"성적, 성과, 실적; 점수",,,,,,,
pamp,빵,,,,,,,
par,자랑,"자랑하는, 자랑스러운",자랑하다,,,,,선험
paradic,행진,행진하는,행진하다,,,,,
patra,,"뚫는, 구멍을 내는","뚫다, 구멍을 내다",,,,,
patralindú,방사선,,,,,,,
paut,모호성,모호한,,,,,,
paz,,,"(잡은 것을) 놓다, 풀다",,,,,
pershanta,"퍼센트(%), 푼",,,,,,,
pîcot,,"자포자기한, 놓은","자포자기하다, 놓다, 받아들이다",,,,,"영어, peach"
planaria,식물,,,,,,,
poirn,,"쓰는, 사용하는, 이용하는","쓰다, 사용하다, 이용하다",,,,,
poivist,,써주는,써주다,,,,,
poivizash,,"써 보는 , 사용해 보는","써보다, 사용해 보다",,,,,
ponit,,겹치는,겹치다,,,,,선험
ponitelen,"복각상, 복각상 운명",,,,,,[운론] 운명이 끝나면 다른 고가 생겨나므로 운명의 끝에 다른 운명이 연결되어있다는 운론의 가르침,"자소크어, ponit·elen"
poret,귤,,,,,,,
port,항(수학),,,,,,,
posasin,냄새,,,,,,,"자소크어, nariprepos·às·-in > posasin"
pot,팥,,,,,,,
pota,글,쓰는,(글을)쓰다,,,,,
potacamis,문서,,,,,,,
potús,마법,마법같은,마법을 쓰다,,,,,"인명, Harry Potter > 자소크어, eicquiapotús"
potúsàsin,"주문서, 지팡이; 카드",,,,,,,"자소크어, potús·às·in"
potúsin,마법사,,,,,,,"자소크어, potús·in"
pradol,파랑,란,,,,,,
pradolalivaie,보라색,보라색의,,,,,,
prepos,,두는,"두다(置), 놓다",,,,,
priza,"서로, 상호",,,"서로, 상호",,,,
prizazur,상호작용,상호작용하는,상호작용하다,,,,,
puat,저항; 지연,저항이 있는,,,,,,
puatàs,,"저항을 거는, 지연시키는",저항을 걸다; 지연시키다,,,,,
pumiel,,똑똑한,,,,,,
púr,"나누기 (분수 표현, 단위 표현 등에 사용)",,나누다,,,,,
púrtag,공산주의,,,,,,,
púrúpika,미적분,,,,,,,"자소크어, púr·rúp·ika"
qua,,눕는,눕다,,,,,
quag,,"설렁설렁 하는, 대충 하는","설렁설렁 하다, 대충 하다",대충,,,,
quare,카레,,,,,,,
quarfis,,미는,밀다,,,,,
quav,,"건강치 못한, 바람직하지 못한",,,,,,
quê,깨,,,,,,,
quedas,,깨는,깨다(割),,,,,
quiä,기(氣),,,,,,,
quilas,"승인, 허가, 허락; 동의",승인하는; 동의하는,승인하다; 동의하다,,,,,
quin,"바깥, 외부, 겉, 밖","바깥쪽의; 외적인, 메타(meta)적인",,,,,,
quiniloú,,,,,"그보다도, by the way, 그나저나",,,
quivesh,,"나가는, 물러나는","나가다(退), 물러나다",,,,,
quocefashas,연구소,,,,,,,
quocer,,연구하는,연구하다,,,,,
quocerin,연구자,,,,,,,
quohoú,"관계, 사이(仲)",,,,,,,"자소크어, quorsin·hoú"
quohoúnesh,인간관계에 대한 간절함,,,,,,,"자소크어, quohoú·únesh"
quohoúniash,,"사이 나쁜, 사이가 안 좋은, 사이가 나쁜",,,,,,"자소크어, quohoú·niash"
quohoúshain,,"사이 좋은, 친한, 사이가 좋은",,,,,,"자소크어, quohoú·shain"
quoncentrar,집중,집중하는,집중하다,,,,,"영어, concentrate"
quorec,심장,,,,,,,
quorecur,심장 박동,,,,,,,"자소크어, quorec·zur"
quoriz,적(敵),,,,,,,
quorizàs,공격,,공격하다,,,,,
quorsilig,인권,,,,,,,
quorsin,"인간, 사람",,,,,,,선험
quorsinuat,"인삿말, 인사말",,,,,,,"자소크어, quorsin·uat"
quorsishain,,사람을 좋아하는,사람을 좋아하다,,,,,"자소크어, quorsin·shain"
quorza,"사람, 호모 사피엔스",,,,,,"사회적이지 않은, 인간이라는 종 그 자체에 대해 뜻하는 단어",선험
quovizash,만남,"만나는, 사람을 보는","만나다, 사람을 보다",,,,,"자소크어, quorsin·vizash"
qupú,구리,,,,,,,"영어, copper"
rad,,,,,"-보다, -와 비교해서",,,"영어, rather"
raduv,,느린,,느리게,,,,"자소크어, vudar"
raf,"10^16, 경(京)",,,,,,,선험
raquiä,음기(陰氣),,,,,,,"자소크어, rat·quiä"
rardo,잘못,,,,,,,선험
rarov,,나란한; 평행한,,,,,,"일본어, 並ぶ"
rasp,영향,영향을 주는,영향을 주다,,,,,선험
raspùque,,영향을 받는,영향을 받다,,,,,"자소크어, rasp·-ùque"
rat,"음(陰, yin)",,,,,,,선험
reas,,게으른,,,,,,선험
remus,겨울,,,,,,,"자소크어, sumer"
requis,,"특수한, 예외적인",,,,,,선험
requisaravîta,특수문자; 기호,,,,,,,"자소크어, requis·aravîta"
restor,,보내는,보내다,,,,,
ricie,,"멋있는, 멋진",,,,,,
rifo,,,,,"그래서, 그렇기에, 그러므로, 따라서, 고로",,,선험
rina,"안타까움, 연민, 동정",안타까운,,,,,,
rinälivaie,"새, 조류",,,,,,,
rinïnoc,번개,,,,,,,
rinü,하늘,,,,,,,
rinünatio,"하늘나라, 천국",,,,,,,
rinüvator,비,,,,,,,
rinüvatoshtaiglishin,기관총,,,,,,,
ripes,,구상적(具象的)인,,구상적(具象的)으로,,,,"자소크어, sepir"
rirat,,부족한,,,,,,"자소크어, tarir"
risque,"상황, 상태",,,,,,,
riü,형제,,,,,,,"인명, leeyu"
riüalon,형제애,,,,,,,"자소크어, riü·alon"
rivon,죄,죄가 있는,,,,,,
rivonin,죄인,,,,,,,
rod,"100, 온, 백",,,,,,,
rogie,,(장난 등이) 통하는,(장난 등이) 통하다,,,,,
rogrúimansah,더 이상 사용되지 않는 것,"더 이상 사용되지 않는, deprecated된",,,,,,
ronaldis,혼돈,섞는,섞다,,,,,
ropo,"뒷부분, 뒤","뒤의, 뒷부분",,,,,,
roponuiz,뒷계,,,,,,,
ropouat,"뒷말, 뒷담화",뒷담화하는,뒷담화 하다,,,,,
roú,,,,,"-로, -으로",,,
ruintginümú,뢴트게늄,,,,,,,
rúp,,,"합치다, 두 개 이상의 것을 하나로 만들다",,,,,"자소크어, púr"
ruque,,씹는,씹다,,,,,
rus,"광대, 클라운",,,,,,,
rüsha,"공짜, 무료",,,"단지, 그냥",,,,
rüsque,,씨발,"씹하다, 씨발다","씨발게, 씨발도록",,,씨발,
rüsquin,"씨발 사람, 씨발놈",,,,,,,
rutan,승차,타는(乘),타다(乘),,,,,
saer,,부지런한; 충실한,,,,,,
saf,"양(穣, 10^28)",,,,,,,
sail,발(足),,,,,,,
sailit,클릭,,누르다,,,,,
sailitin,버튼,,,,,,,
salique,"거부, 거절","거절하는, 거부하는","거부하다, 거절하다",,,,,
samie,,,,,"-와, -과 (같이)",,,
sanaz,,부러운,부러워하다,,,,,
saparadimaque,"세행진가, 자소크 국가",,,,,,,"자소크어, sat·paradic·maque"
sat,"세계, 세상; 세계관",,,,,,,
satanä,컴퓨터,,,,,,,"히브리어, שָׂטָן"
savafashas,감옥,,,,,,,
savat,,"가두는, 감금하는","가두다, 감금하다",,,,,
sazigau,실행 취소,되돌리는,되돌리다,,,,,
scie,,"미치는, 미친",미치다,,,,,
sefelipún,우울증,우울증에 걸린,우울증을 겪다,,,,,
sefez,우울,우울한,우울해하다,,,,,
seht,반짝임,반짝이는,반짝이다,,,,,
seks,섹스,섹시한,섹스하다,,,,,"영어, sex"
semosqualen,게슈탈트 붕괴,,,,,,,
semü,기분; 감정,,,,,,,
semüniash,"무서움, 공포",무서운,,,,,,
semüshaifiun,"내기, 대결",대결하는,대결하다,,,,,
semüshain,,"즐거운, 재밌는",,,,,,
semüskie,"게임, 오락, 장난",장난스러운,,,,,,
sepiàs,,,추상화하다,,,,,
sepir,,추상적인,,추상적으로,,,,"이탈리아어, sospiri"
seropie,"엔트로피, 무질서도",,,,,,,
servico,서비스,서비스하는,서비스하다,,,,,
sesin,"놂, 놀음, 노름 (주로 한 자리에서 하는 게임)",,"(한 자리에서 정적으로) 놀다, 즐기다",,,,,
shaf,"아승기, 10^56",,,,,,,
shaia,비밀,,,,,,,
shaikromadùque,환멸,환멸하는,"기대를 하고 있었던 것이 없어지다, 현타가 오다, 환멸(幻滅)하다",,,,,
shain,,"좋아하는, 좋은",좋아하다,,,,,"인명, 김샤인"
shainémog,,,,,,,[인사] 좋은 아침입니다.,
shainénit,,,,,,,"[인사] 좋은 밤 보내세요, 안녕히 주무세요, 잘 자.",
shaishain,"무디타, 타인의 행복을 보고 느끼는 기쁨",,,,,,,"자소크어, shain·shain"
shaisinta,양심,양심적인,,,,,,
shaten,경험,겪는,겪다,,,,,
shavie,성기,,,,,,,
shavifashas,"화장실, 변소",,,,,,,
shavil,남성기,,,,,,,
shavin,여성기,,,,,,,
shaviskie,"대변, 똥",,,,,,,
shavitailes,"성기 털, 음모",,,,,,,
shavivator,"오줌, 소변",,,,,,,
shaziv,,,"보지 않다; 보지 않은 것으로 치다, 무시하다",,,,"ammirasapel: 보고도 못 본 척 하는 부정적 의미.
shaziv: 보고 싶은 것을 보지 않으려고 하는 의지적 의미",
she,"7, 일곱, 칠",,,,,,,
shec,주(週),,,,,,,
shelo,,"바쁜, 분주한",,,,,,
shetal,7월,,,,,,,
shigo,,대단한,,,,,,
shitnataniáikifgrün,마지막 잎새,,,,,,,
shitnatanie,"끝, 마지막; 결과",끝내는,끝내다,,,,,
shitnatanîka,논리학,,,,,,,
shocen,,"강한, 센",,,,,,
shocenin,,"강자, 다수자",,,,,,
shokola,초콜릿,,,,,,,
sholef,슬픔; 충동,슬픈; 슬퍼하는,슬퍼하다,,,,,
sholesum,"한숨, 한탄",한숨쉬는,한숨쉬다,,,,,
shtaiglishin,총,,,,,,,
shtain,돌,,,,,,,"독일어, stein"
shtelia,협동조합,,,,,,,"자소크어, shtelo"
shtelin,회원,,,,,,,"자소크어, shtelo·quorsin"
shtelo,"모임, 커뮤니티, 떼; 집합(수학)",,"뜻을 합치다, 모이다, 단결하다",,,,,"에스페란토, stelo"
shtelofashas,사회,사회적인,,,,,,
shtelon,"토론, 토의; 생각나는 것을 아무렇게나 말하는 대화","토론하는, 토의하는","토론하다, 토의하다",,,,,
shtelosülieskie,사회공간,,,,,,운론의 개념; 운이 존재하는 공간,"자소크어, shtelo·sülieskie"
shteloves,사회성,,,,,,,"자소크어, shtelo·ves"
shtelozur,"활동; 운동(demonstrate), 사회운동",,,,,,,
shtor,,"담는, 보관하는","담다, 보관하다",,,,,
sifraque,,,당기다,,,,,
sih,,"그러한, 그런",그러하다,,,,,
sikomkos,필요조건(수학),,,,,,,"자소크어, sih·komkos"
silasf,울림,울리는,울리다(泣),,,,,
silasfùque,"울음, 욺",우는,울다(泣),,,,,
silog,"형, 오빠",,,,,,,
sim,,따르는,따르다(追),,,,,"인명, 시모킴"
sinas,,전하는,전하다(傳),,,,,
sinom,,"헤매는, 헤매이는",헤매이다,,,,,
sinta,성격,,,,,,,
sinvud,존엄,,,,,,,
siolofan,미학(aesthetics),,,,,,,
sion,,"예쁜, 미적인",,,,,,
sioquedas,조각상,,,,,,,
siquer,일반,"일반적인; 다용도의, 많은 상황에 사용할 수 있는",일반화하다,,,,,
siquerivashalon,범성애,"범성애자인, 범성애의","성별을 보지 않고 사람을 사랑하다, 범애(凡愛)하다",,,,,
siquerivashalonin,범성애자,,,,,,,
sira,"누군가들, 아무개들",,,,,,,
siran,무지,"모르는, 무지한","모르다, 모르는 상태로 있다",,,,,
siro,"누군가, 아무, 누구",,,,,,,
siros,다음,,,,,,,
sirosic,"다음날, 내일",,,,,,,
sirozur,,,,,"아무튼, 아무렇든지 간에",,,
siskis,그러한 것,,,,,,기타 등등,
sivú,은(원소),,,,,,,
siziat,,아름다운,,,,,,
sizimaka,노동,,"노동하다, 몸을 쓰는 일을 하다",,,,,
sizin,몸,,,,,,,
siziquiä,호르몬,,,,,,,
sizivaisausentranoh,,무기력한,무기력해하는,"무기력하게, 무기력하도록",,,,"자소크어, sizin·vaisausentrah·noh"
skad,,막는,막다,,,,,
skadin,"장벽, 방해가 되는 것",,,,,,,
skie,것,,,,,,,
skunez,이산(離酸),"이산적인, 떨어져있는",,,,,,
so,"3, 셋, 삼",,,,,,,
sokarommaque,트리오,삼중창하는,삼중창하다,,,,,
sol,신(神),,,,,,,
solévlosa,신의 목소리,,,,,,"[문어] 마음을 담아, 사랑하는 사람에게, 고마운 사람에게",
somiet,삼지창,,,,,,,
sommit,수영,수영하는,"수영하다, 헤엄치다",,,,,
sonam,"씨 (氏, 가족 이름)",,,,,,,
sonia,"역(驛), 지하철역",,,,,,,
soniadoliah,역사(驛舍),,,,,,,
sonie,,,팔다(賣),,,,,
soris,이전,,,,,,,
sorisic,어제,,,,,,,
sosalindú,"과정, 단계",,,,,,,
sosamoque,,,"진행하다, 시간이 흐르다",,,,,
sosanema,시간대; 시각선,,,,,,,"자소크어, sosaque·nema"
sosaque,"시간 (길이가 있는), 기간",,,,,,,선험
sôsha,"공, 구(球)",,,,,,,"자소크어, so·osha"
sotaimúhivin,고조보호자; 고조부모님,,,,,,,
